module,service_key,service_name_pt,service_name_en,service_type
# Citizen-Facing Services (120 total)
# Health Module (10 services)
health,AgendamentoConsulta,Agendamento de Consulta Médica,Medical Appointment Booking,citizen
health,SolicitacaoExame,Solicitação de Exame Laboratorial,Laboratory Test Request,citizen
health,AgendamentoVacinacao,Agendamento de Vacinação,Vaccination Scheduling,citizen
health,CartaoVacina,Cartão de Vacinação Digital,Digital Vaccination Card,citizen
health,ConsultaTelematica,Teleconsulta Médica,Telemedicine Consultation,citizen
health,SolicitacaoMedicamento,Solicitação de Medicamento,Medication Request,citizen
health,HistoricoMedico,Histórico Médico Digital,Digital Medical History,citizen
health,SeguroSaude,Seguro de Saúde Municipal,Municipal Health Insurance,citizen
health,EmergenciaMedica,Serviço de Emergência Médica,Medical Emergency Service,citizen
health,AvaliacaoNutricional,Avaliação Nutricional,Nutritional Assessment,citizen

# Education Module (10 services)
education,MatriculaEscolar,Matrícula Escolar,School Enrollment,citizen
education,TransferenciaEscolar,Transferência Escolar,School Transfer,citizen
education,BolsaEstudo,Bolsa de Estudo Municipal,Municipal Study Grant,citizen
education,TransporteEscolar,Transporte Escolar,School Transportation,citizen
education,MerendaEscolar,Merenda Escolar,School Meals Program,citizen
education,HistoricoEscolar,Histórico Escolar Digital,Digital Academic Record,citizen
education,CursoTecnico,Curso Técnico Municipal,Municipal Technical Course,citizen
education,AlfabetizacaoAdulto,Alfabetização de Adultos,Adult Literacy Program,citizen
education,EnsinoSuperior,Apoio ao Ensino Superior,Higher Education Support,citizen
education,EducacaoEspecial,Educação Especial,Special Education,citizen

# Citizenship Module (10 services)
citizenship,EmissaoBI,Emissão de Bilhete de Identidade,Identity Card Issuance,citizen
citizenship,AtualizacaoBI,Atualização de Bilhete de Identidade,Identity Card Update,citizen
citizenship,EmissaoPassaporte,Emissão de Passaporte,Passport Issuance,citizen
citizenship,AtualizacaoEndereco,Atualização de Endereço,Address Update,citizen
citizenship,DeclaracaoResidencia,Declaração de Residência,Residence Declaration,citizen
citizenship,CertidaoNascimento,Certidão de Nascimento,Birth Certificate,citizen
citizenship,CertidaoObito,Certidão de Óbito,Death Certificate,citizen
citizenship,CertidaoCasamento,Certidão de Casamento,Marriage Certificate,citizen
citizenship,RegitroEleitoral,Registro Eleitoral,Electoral Registration,citizen
citizenship,VistoPermanencia,Visto de Permanência,Permanent Residence Visa,citizen

# Finance Module (10 services)
finance,PagamentoTaxa,Pagamento de Taxa Municipal,Municipal Tax Payment,citizen
finance,ConsultaDebito,Consulta de Débitos,Debt Inquiry,citizen
finance,ParcelamentoDebito,Parcelamento de Débitos,Debt Installment,citizen
finance,IsencaoTaxa,Isenção de Taxa,Tax Exemption,citizen
finance,EmissaoRecibo,Emissão de Recibo,Receipt Issuance,citizen
finance,DeclaracaoImpostos,Declaração de Impostos,Tax Declaration,citizen
finance,MicroCredito,Microcrédito Municipal,Municipal Microcredit,citizen
finance,SubsidioHabitacao,Subsídio de Habitação,Housing Subsidy,citizen
finance,ApoioEmpreendedor,Apoio ao Empreendedor,Entrepreneur Support,citizen
finance,ContabilidadePublica,Contabilidade Pública,Public Accounting,citizen

# Urbanism Module (10 services)
urbanism,LicencaConstrucao,Licença de Construção,Construction License,citizen
urbanism,AlvaraFuncionamento,Alvará de Funcionamento,Operating Permit,citizen
urbanism,PlanoUrbano,Plano Urbano Municipal,Municipal Urban Plan,citizen
urbanism,OcupacaoSolo,Ocupação de Solo,Land Occupation,citizen
urbanism,DemolicaoEdificio,Demolição de Edifício,Building Demolition,citizen
urbanism,InspecaoObra,Inspeção de Obra,Construction Inspection,citizen
urbanism,LoteamentoUrbano,Loteamento Urbano,Urban Subdivision,citizen
urbanism,RegularizacaoFundiaria,Regularização Fundiária,Land Regularization,citizen
urbanism,EspacoPublico,Uso de Espaço Público,Public Space Usage,citizen
urbanism,SinalizacaoTrafego,Sinalização de Tráfego,Traffic Signage,citizen

# Justice Module (10 services)
justice,MediacaoConflito,Mediação de Conflitos,Conflict Mediation,citizen
justice,AssistenciaJuridica,Assistência Jurídica Gratuita,Free Legal Assistance,citizen
justice,RegistoCriminal,Registo Criminal,Criminal Record,citizen
justice,HabeasCorpus,Habeas Corpus,Habeas Corpus,citizen
justice,MandadoSeguranca,Mandado de Segurança,Security Order,citizen
justice,DefensorPublico,Defensor Público,Public Defender,citizen
justice,CartorioDistribuidorr,Cartório Distribuidor,Distribution Office,citizen
justice,ExecucaoFiscal,Execução Fiscal,Tax Execution,citizen
justice,PenhonhaBens,Penhora de Bens,Asset Seizure,citizen
justice,LeilaoJudicial,Leilão Judicial,Judicial Auction,citizen

